Keyword,Region,Match type,Origin,Optimal Cost,Gurobi Pred,Gurobi Pred over Base,Actual Model Pred,Diff
artificial intelligence short course online,USA,Broad match,existing,10.257084262276218,10.373778774402004,8.750741793773036,10.373777,1.3848756363898929e-06
best book on generative ai,USA,Broad match,existing searches,0.797083908638303,1.5146682045420001,0.1821537992914508,1.5146677,4.5513709290290194e-07
course certificate for generative ai with large language models,USA,Broad match,new,10.257084262276216,10.576862688692001,8.736906762750534,10.576861,1.30716123969421e-06
coursera courses on generative ai,USA,Broad match,new,10.257084262276216,10.752041160322001,8.750741779065898,10.752041,2.9728489181479745e-07
cursos inteligencia artificial,USA,Broad match,existing searches,15.75708371340661,15.558322596602,15.046624887041606,15.55832,2.551130808825519e-06
edx harvard cs50,USA,Broad match,existing searches,0.7970839086383026,2.169146152292,0.44651839331220256,2.169146,9.134839640267955e-08
edx mit,USA,Broad match,existing searches,1.0970839097616107,1.0626807157720006,0.6540390794003881,1.062681,-2.439295374578876e-07
free course generative ai,USA,Broad match,new,10.257084262276218,10.897073073402002,8.838374657645776,10.897072,1.2350230953472874e-06
free courses generative ai,USA,Broad match,new,10.257084262276216,10.960706165702002,8.750741651923315,10.960706,4.0856088823204573e-07
genai bootcamp,USA,Broad match,existing searches,0.7970839086380519,0.7044385026220004,0.44651829702889123,0.7044385,-4.934914921150835e-09
genai certification,USA,Broad match,existing searches,0.7970839086382209,0.5170819402019999,0.44651843014168957,0.5170821,-1.549441792647599e-07
generation ai course,USA,Broad match,new,10.257084262276216,10.343200490642001,9.040383622813632,10.3432,7.607225676053986e-07
generative ai content creation course,USA,Broad match,new,10.257084262276216,10.904176205322004,8.750741690322615,10.904176,4.4696018797196757e-07
generative ai course fees,USA,Broad match,new,10.257084262276216,10.595422025872,8.750741835785636,10.595421,1.1884696569097741e-06
generative ai course from google,USA,Broad match,new,10.257084262276216,10.737719700302002,8.75074176546466,10.73772,1.6447436479438693e-07
generative ai course google cloud,USA,Broad match,new,1.0970839097616107,2.651817043261999,0.3896746234469357,2.6518164,6.751589718412276e-07
generative ai course in india,USA,Broad match,new,10.257084262276216,10.695511199942002,8.750742055883775,10.695511,3.3568418977836245e-07
generative ai course skillsfuture,USA,Broad match,new,10.257084262276216,11.113909786702001,8.838374680043065,11.11391,6.532748919596543e-08
generative ai full course free with certificate,USA,Broad match,new,10.257084262276216,9.729071605422002,8.80839781782816,9.729072,-1.1704463176442914e-08
google ai courses generative ai,USA,Broad match,new,10.257084262276216,10.960706165702002,8.750741651923315,10.960706,4.0856088823204573e-07
ia que gera cursos,USA,Broad match,existing searches,10.257084262276218,10.654725695992003,8.750742103004942,10.654724,1.574898252698631e-06
intellipaat generative ai course,USA,Broad match,new,10.257084262276216,10.960706165702002,8.750741651923315,10.960706,4.0856088823204573e-07
japan ai training,USA,Broad match,existing searches,0.7970839086383043,1.0192468596220001,0.18215356595516052,1.019247,-1.954317108143755e-07
large language models course,USA,Broad match,existing searches,14.057084176279204,12.571388715542,11.672607117927711,12.571388,4.7091309340885346e-07
learn generative ai course,USA,Broad match,new,10.257084262276216,10.737719700302002,8.75074176546466,10.73772,1.6447436479438693e-07
llm and generative ai course,USA,Broad match,new,10.257084262276216,11.318621222922001,8.750742022940312,11.318621,5.41159305811334e-07
mit certificate in ai,USA,Broad match,existing searches,1.3970839108849193,2.7812340060719998,1.036683301115945,2.7812343,-2.583017795210196e-07
mit certification,USA,Exact match,existing searches,1.3970839108849191,2.593054547692,1.1873246578223102,2.5930548,-2.237313396769025e-07
mit certification,USA,Phrase match,existing searches,1.3970839108849191,2.490086040292,1.1873244855739826,2.4900863,-2.7677037772733115e-07
mit certification,USA,Broad match,existing searches,1.3970839108849191,3.1370856940919998,1.3010480582887771,3.137086,-2.2051981662940534e-07
mit certifications,USA,Exact match,existing searches,1.3970839108848958,2.593054547692,1.1873246578223102,2.5930548,-2.237313396769025e-07
mit certifications,USA,Phrase match,existing searches,1.3970839108849191,2.6998196216720003,1.1873245807784456,2.69982,-4.199844938490571e-07
mit certifications,USA,Broad match,existing searches,1.3970839108849191,3.346819275472,1.301047915074661,3.3468194,-1.253153536495688e-07
mit course certificate,USA,Exact match,existing searches,1.3970839108849193,3.123849183052001,1.1873245534591055,3.1238492,2.9533324230612834e-08
mit course certificate,USA,Phrase match,existing searches,1.3970839108849193,3.2306142570320007,1.18732459562453,3.230614,3.10117327817494e-07
mit course certificate,USA,Broad match,existing searches,1.3970839108848452,2.922163673832,1.301047870113433,2.9221637,-5.106729217274619e-08
mit courses with certificate,USA,Exact match,existing searches,1.3970839108849191,2.253117784792,1.18732450895887,2.2531176,2.2345166783566128e-07
mit courses with certificate,USA,Phrase match,existing searches,1.3970839108849191,2.6091264576720006,1.1873245329664952,2.6091266,-1.1016857559553728e-07
mit courses with certificate,USA,Broad match,existing searches,1.3970839108849071,2.746408136672,1.3010479529561798,2.7464085,-3.2585241394045283e-07
mit data analytics certificate,USA,Exact match,existing searches,1.3970839108849193,2.786138605992002,1.1873244761625954,2.7861388,-1.6697247540164994e-07
mit data analytics certificate,USA,Phrase match,existing searches,1.3970839108849191,2.8929036799720005,1.1873245183280186,2.892904,-3.632256313501614e-07
mit data analytics certificate,USA,Broad match,existing searches,1.3970839108848319,2.827750617972,1.3010479755312039,2.827751,-3.0327738986812847e-07
mit inscription,USA,Exact match,existing searches,1.3970839108849191,3.5493327054520005,1.1873246106644029,3.5493326,8.673862161856505e-08
mit inscription,USA,Phrase match,existing searches,1.3970839108849193,3.6560977794320006,1.1873246528298278,3.6560974,3.6732262564953544e-07
mit inscription,USA,Broad match,existing searches,1.3970839108849191,2.635494480431999,1.3010479310164107,2.6354942,2.4825426470087564e-07
mit professional development,USA,Broad match,existing,15.75708371340661,17.940704878672,16.697775420053837,17.940706,-1.3743797566689864e-06
mit professional education,USA,Phrase match,existing searches,1.0970839097616107,1.8139981603720003,0.540315804491263,1.813998,1.7643950522838736e-07
mit professional education,USA,Broad match,existing searches,14.057084176279195,14.103775224672,13.252266786084812,14.103775,2.002579382320846e-07
mit registration,USA,Exact match,existing searches,1.3970839108849191,2.545702021591999,1.1873245649269601,2.5457017,2.794197579980562e-07
mit registration,USA,Phrase match,existing searches,1.3970839108849193,2.7223757966719995,1.1873246892653833,2.7223759,-7.307897709196709e-08
mit registration,USA,Broad match,existing searches,1.3970839108849016,2.8596574756719995,1.3010479900457788,2.8596578,-2.8876281499279344e-07
mit university certificate,USA,Exact match,existing searches,1.3970839108849191,3.548504784692,1.1873244792110431,3.5485048,-4.47147381343882e-08
mit university certificate,USA,Phrase match,existing searches,1.3970839108849193,3.655269858672,1.1873245213764676,3.6552696,2.3586926545249298e-07
mit university certificate,USA,Broad match,existing searches,1.3970839108849213,3.346819275472,1.301047915074661,3.3468194,-1.253153536495688e-07
mit university certificate programs,USA,Exact match,existing searches,1.3970839108849193,2.144669807012001,1.1873246193479692,2.14467,-2.0260103594793577e-07
mit university certificate programs,USA,Phrase match,existing searches,1.3970839108849193,2.1326026820119997,1.1873244546827455,2.1326032,-4.864755491773565e-07
mit university certificate programs,USA,Broad match,existing searches,1.3970839108849196,2.779602335812,1.3010480870021857,2.7796025,-1.9180640808968974e-07
mit xpro ai,USA,Broad match,existing,59.837085688441135,55.38647651270001,54.06826448038189,55.38648,-1.9113722586894255e-06
mouredev link google santander,USA,Broad match,existing searches,0.27078895328522945,1.2658931640719997,6.237979999212939e-08,1.2658931,6.237979999212939e-08
nlp llm course,USA,Broad match,existing searches,10.257084262276216,10.144256570142002,9.111874677937717,10.144256,9.320194429562889e-07
python generative ai course,USA,Broad match,new,10.257084262276216,10.838597031822001,8.750741931190287,10.838597,-2.6584645596017253e-07
tts openai,USA,Broad match,existing searches,0.7970839086383026,1.458271980942,0.44651830262016157,1.4582719,1.1986564496524466e-07
xpro mit,USA,Broad match,existing searches,1.0970839097616107,2.00727398091,0.6540392129961816,2.007274,6.84801904071719e-08
