Keyword,Region,Match type,Origin,Optimal Cost,Gurobi Pred,Gurobi Pred over Base,Actual Model Pred,Diff
ai,A,Phrase match,existing searches,0.6969700174797301,1.8193341658,0.5454138681773193,1.8193344,-2.219792358815198e-07
ai generator course,B,Broad match,new,13.89696999244613,34.3491213226,32.2016808890978,34.349117,4.04354726413203e-06
ai mini course generator,B,Broad match,new,13.896969992446127,33.4866982583,31.55100582875746,33.486694,3.922362502351007e-06
ai video course generator,B,Broad match,new,0.4669700018561137,1.3451888396899994,0.2848859861057098,1.3451889,-1.6434878569171474e-08
artificial intelligence short course online,A,Broad match,existing,10.27697036071094,11.833268080370003,10.179475579874092,11.833264,3.729478889269444e-06
best ai certification,USA,Broad match,existing,0.6969700174794582,1.0112646815499997,0.5453938243112302,1.0112646,1.1894318818761462e-07
best generative ai course coursera,USA,Broad match,new,0.6969700174796004,1.4298488410500003,0.5453937562492801,1.4298488,5.0881238111699645e-08
best online generative ai courses,A,Broad match,new,10.276970360710806,11.982638562670003,10.001688922395955,11.9826355,3.064623127713162e-06
coursera courses on generative ai,A,Broad match,new,10.27697036071094,11.833268080370003,10.179475579874092,11.833264,3.729478889269444e-06
data science with generative ai course salary,USA,Broad match,new,0.4669700018561199,0.73596126555,0.28488606928382565,0.73596114,1.2634788204568537e-07
domo ai,USA,Phrase match,existing searches,0.6969700174797302,2.56381444295,0.5454140122706788,2.5638146,-1.9709516596577714e-07
drawing ai,A,Phrase match,existing searches,0.69697001747973,2.7813563318,0.5454137296424073,2.7813566,-2.4130485831719284e-07
enhancing excel with generative ai tools course,USA,Broad match,new,0.6969700174793161,0.9782503883500002,0.5453937391896151,0.9782504,4.0192507100300645e-09
generating ai course,USA,Broad match,new,10.276970360710921,12.627301269170001,10.306120210286334,12.627299,1.9603931455947077e-06
generative ai course in software testing and documentation,USA,Broad match,new,10.276970360709749,11.50725547862,10.783608837842412,11.507256,-7.557921932743739e-08
generative ai course in software testing and documentation,A,Broad match,new,10.276970360710772,11.67813753292,10.803472034186479,11.678138,-2.463158406129651e-07
generative ai course in software testing and documentation,B,Broad match,new,13.89696999244613,32.9886669613,31.890047500240428,32.988667,4.2687616996772704e-07
generative ai for cybersecurity course,A,Broad match,new,10.276970360710937,11.214471846320002,9.892998605467646,11.21447,1.9366520334074266e-06
generative ai for designers course,USA,Broad match,new,10.276970360710749,11.475750692070001,10.338011272132867,11.475749,1.6762618955112885e-06
generative ai for designers course,A,Broad match,new,10.276970360710939,12.232811905370001,10.944053389058356,12.23281,1.8849232237272417e-06
google ai courses generative ai,A,Broad match,new,10.276970360710935,11.670265388270003,10.179475378771407,11.670261,4.005213362745508e-06
google ai courses generative ai,B,Broad match,new,15.646969634685455,36.244402607350004,34.5866969427153,36.2444,2.582935941575215e-06
harvard business school online ai for leaders,USA,Broad match,existing searches,0.6969700174794866,1.1604677004,0.5453936618944457,1.1604677,-4.3473596278431614e-08
ia que gera cursos,B,Broad match,existing searches,13.89696999244606,34.26070411565,32.18636162640745,34.260708,-3.739574609085139e-06
mini course generator with ai assistant,B,Broad match,new,13.896969992446119,33.7434210549,30.96482703787119,33.74342,1.4076832002274386e-06
mit admissions portal,B,Phrase match,existing searches,0.69697001747973,3.0416253150899997,0.6927924694021335,3.0416255,-1.8463534212642685e-07
mit opencourseware courses,B,Phrase match,existing searches,0.69697001747973,3.211150756740001,0.6927927645677596,3.211151,-1.278882950650484e-07
mit professional development,USA,Broad match,existing,59.836969973787916,59.629891300320004,56.74015131008563,59.629894,-2.956271792697862e-06
mit professional development,A,Broad match,existing,13.896969992445918,16.189456215520003,14.434692850728133,16.189457,-7.241772621568998e-07
mit xpro ai,A,Exact match,existing,8.436970194993904,6.573572303900002,5.376276042112587,6.573572,1.4508652501632469e-07
nlp llm course,B,Broad match,existing searches,13.896969992445975,33.3334197417,32.0160232201317,33.333424,-3.872801954685201e-06
online course generative ai,USA,Broad match,existing,10.27697036071094,12.201008632870002,10.036174848766608,12.201007,1.7435267398724363e-06
online course generative ai,A,Broad match,existing,10.27697036071094,12.958069846170002,10.642217204110676,12.958068,1.9521880680883896e-06
online course generative ai,B,Broad match,existing,15.646969634685453,39.73134820645,37.191541602064625,39.73135,-1.7386183586154402e-06
teaching with generative ai in higher education course,USA,Broad match,new,0.46697000185581317,1.4742127728499999,0.28488612890621323,1.4742126,1.263656248529088e-07
trendytech generative ai course,USA,Broad match,new,0.6969700174794299,1.19580582155,0.5453937388778809,1.1958058,3.35098389037114e-08
xpro mit,USA,Broad match,existing searches,10.71697017456397,11.592282223250002,10.159418272520632,11.592283,-1.0256513647277643e-06
xpro mit,A,Broad match,existing searches,10.716970174563935,12.34934343655,10.765460508655408,12.349344,-8.169900382881679e-07
