Day,Budget,t_Clicks_OptCost,t_Clicks_ActCost,tm1_Clicks_OptCost,Actual_Clicks,Opt_Cost,Act_Cost,Opt_Conv,Act_Conv,Opt_Purch,Act_Purch,N_Opt,N_Obs,Avg_Cost_Change,Pct_New_Keywords,Eval_CV_MSE,Eval_Train_MSE,Eval_Train_R2,Eval_Best_Params,Hist_MSE,Hist_R2,Hist_Bias,Opt_Cost_Region_USA,Act_Cost_Region_USA,Opt_Clicks_Region_USA,Act_Clicks_Region_USA,Opt_Conv_Region_USA,Act_Conv_Region_USA,Opt_Purch_Region_USA,Act_Purch_Region_USA,Opt_Cost_Region_B,Act_Cost_Region_B,Opt_Clicks_Region_B,Act_Clicks_Region_B,Opt_Conv_Region_B,Act_Conv_Region_B,Opt_Purch_Region_B,Act_Purch_Region_B,Opt_Cost_Region_A,Act_Cost_Region_A,Opt_Clicks_Region_A,Act_Clicks_Region_A,Opt_Conv_Region_A,Act_Conv_Region_A,Opt_Purch_Region_A,Act_Purch_Region_A,Opt_Cost_Origin_new,Act_Cost_Origin_new,Opt_Clicks_Origin_new,Act_Clicks_Origin_new,Opt_Conv_Origin_new,Act_Conv_Origin_new,Opt_Purch_Origin_new,Act_Purch_Origin_new,Opt_Cost_Origin_existing,Act_Cost_Origin_existing,Opt_Clicks_Origin_existing,Act_Clicks_Origin_existing,Opt_Conv_Origin_existing,Act_Conv_Origin_existing,Opt_Purch_Origin_existing,Act_Purch_Origin_existing,Opt_Cost_Origin_existing searches,Act_Cost_Origin_existing searches,Opt_Clicks_Origin_existing searches,Act_Clicks_Origin_existing searches,Opt_Conv_Origin_existing searches,Act_Conv_Origin_existing searches,Opt_Purch_Origin_existing searches,Act_Purch_Origin_existing searches
2025-12-01,357,290.51733,120.95368,420.45689058969594,177,356.74999925504574,339.51,8.34547506197906,3.402796113938539,0.015582253820717302,0.03801505410336778,88,30,,,1.808143949508667,1.6075465679168701,0.9134912490844727,"{'model__learning_rate': 0.3, 'model__max_depth': 4, 'model__n_estimators': 20}",1.488994836807251,0.8997662663459778,-9.917821041557907e-06,119.30999871874823,225.70999999999998,8.862721,37.08498,0.24325615456008023,1.0178756896852603,0.008020224099633886,0.03355964888785132,118.84999751251951,34.620000000000005,243.23494,56.438164,7.054472572184038,1.636859725052826,0.001958058518516422,0.00045433121972772206,118.59000302377804,79.17999999999999,38.41968,27.430548,1.0477463352349425,0.7480606992004526,0.005603971202566994,0.0040010739957887275,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.29000006998481,339.51,133.39386,120.95368,3.8500923011298687,3.402796113938539,0.0029601833243704913,0.03801505410336777,257.45999918506095,0.0,157.12343,0.0,4.495382812864656,0.0,0.012622070774556475,0.0
2025-12-02,357,239.22516,122.33064,459.39194293144755,170,357.11499901569846,333.08,6.858904402535485,3.444020978887643,0.011980266809585693,0.03435457142682368,147,36,0.5141729072560463,0.9251700680272109,1.808143949508667,1.6075465679168701,0.9134912490844727,"{'model__learning_rate': 0.3, 'model__max_depth': 4, 'model__n_estimators': 20}",1.5090065002441406,0.8988060355186462,-4.908635916489144e-05,119.70500188730249,214.60999999999999,4.8447237,32.468475,0.13297371254157328,0.8911660494706591,0.004384180847849061,0.029381996273293985,117.72999622540291,32.49,192.95221,59.028996,5.596137451448008,1.712000984179424,0.0015532790716066434,0.00047518763117725056,119.68000090299314,85.97999999999999,41.428246,30.833172,1.129793238545905,0.8408539452375605,0.006042806890129988,0.004497387522352446,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,105.03999735818661,333.08,142.34079,122.33064,4.1005289265172005,3.4440209788876435,0.003576518543917505,0.03435457142682368,252.0750016575119,0.0,96.884384,0.0,2.7583754467386026,0.0,0.008403748018686194,0.0
2025-12-03,357,274.4157,138.57133,448.584403362876,204,357.14000000001596,349.52000000000004,7.864419062332052,3.903014210811337,0.019332693542673522,0.0392770188626342,54,37,0.26613392430155774,0.8518518518518519,1.808143949508667,1.6075465679168701,0.9134912490844727,"{'model__learning_rate': 0.3, 'model__max_depth': 4, 'model__n_estimators': 20}",1.5165082216262815,0.8986787796020508,7.364833965912591e-08,119.715001034394,221.39,12.43369,37.428104,0.34126892299324907,1.0272935697399812,0.01125173274894695,0.0338701590524099,117.70999793122762,42.29,218.64769,67.81774,6.341376079676197,1.9668984538972176,0.0017601295241951814,0.0005459376634188088,119.71500103439442,85.84,43.334328,33.32549,1.1817740596626076,0.9088221871741378,0.006320831269531389,0.004860922146805488,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,134.0399996692544,349.52000000000004,174.73676,138.57133,5.0271885031245525,3.903014210811337,0.004641839016865888,0.03927701886263419,223.10000033076153,0.0,99.67896,0.0,2.837230285918902,0.0,0.014690854186180796,0.0
2025-12-04,357,250.30075,125.45102,425.37171935327723,174,357.09499831481287,321.47999999999996,7.179976164613678,3.5382496483127084,0.01219090831991072,0.040836847732616685,152,38,0.08196605042258677,0.9605263157894737,1.808143949508667,1.6075465679168701,0.9134912490844727,"{'model__learning_rate': 0.3, 'model__max_depth': 4, 'model__n_estimators': 20}",1.516337752342224,0.8991885185241699,-0.000131321720685,119.38999872453574,227.20999999999998,4.986401,41.20481,0.13686233510282841,1.1309531765102219,0.0045123898316528225,0.0372878455560906,118.26999918062263,35.419999999999995,203.92665,63.41482,5.914426023593448,1.8392018378078328,0.0016416241099718376,0.0005104938447121564,119.4350004096545,58.85000000000001,41.38771,20.831392,1.1286878059174024,0.5680946339946543,0.006036894378286061,0.003038508331813926,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,95.73000101294089,321.47999999999996,115.3782,125.45102,3.3183996577252692,3.538249648312709,0.0034408191353521933,0.04083684773261668,261.364997301872,0.0,134.92258,0.0,3.8615764759727504,0.0,0.008750088883637954,0.0
2025-12-05,357,250.2196,113.72007,424.42867539700165,170,357.1400000000057,295.81000000000006,7.171721888740562,3.209291184323023,0.016396011108757668,0.03361594792690573,49,35,2.6644865554330943,0.8775510204081632,1.808143949508667,1.6075465679168701,0.9134912490844727,"{'model__learning_rate': 0.3, 'model__max_depth': 4, 'model__n_estimators': 20}",1.4711387157440186,0.9026018381118774,5.7465995026512695e-05,119.04666666666589,202.65000000000003,9.819206,33.146885,0.2695088786853139,0.9097864366546381,0.008885783826544048,0.02999591569624769,119.04666666667714,37.559999999999995,199.94681,59.01183,5.798999777345507,1.7115031196236563,0.0016095860883602257,0.00047504944254237927,119.04666666666272,55.59999999999999,40.45359,21.561361,1.1032132327097408,0.5880016280447282,0.005900641193853392,0.003144982788115671,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,121.45000056411466,295.81000000000006,147.067,113.72007,4.236222273511391,3.2092911843230225,0.0045384691187654504,0.03361594792690574,235.68999943589105,0.0,103.15261,0.0,2.935500002488028,0.0,0.011857541726739728,0.0
2025-12-06,357,277.09995,122.18811,410.51731276115197,194,357.04999756793245,374.28999999999996,7.938151706095817,3.426741688325255,0.01979078973153696,0.03714005720660378,90,40,0.462555065543222,0.9111111111111111,1.808143949508667,1.6075465679168701,0.9134912490844727,"{'model__learning_rate': 0.3, 'model__max_depth': 4, 'model__n_estimators': 20}",1.5220571756362915,0.899526059627533,-1.687325713528725e-05,120.52999787386983,228.70999999999998,12.574417,34.719772,0.3451314746461714,0.9529575573999804,0.011379082167541818,0.03141927973666084,117.67000027328243,34.74000000000001,218.93979,51.066185,6.349847742957135,1.4810578803343928,0.0017624809420061533,0.00041108643762248053,118.84999942078021,110.83999999999999,45.58574,36.40215,1.2431724884925106,0.9927262505908816,0.0066492266219889875,0.005309691032320465,20.21999995837912,0.0,2.6101403,0.0,0.07164082748865629,0.0,0.002362018310210212,0.0,95.47999999454689,374.28999999999996,106.859825,122.18811,3.0733824045315568,3.426741688325255,0.0037055701597857008,0.03714005720660378,241.34999761500643,0.0,167.62996,0.0,4.7931286367893735,0.0,0.013723200828994229,0.0
2025-12-07,357,267.2091,137.44832,376.1448266521891,188,357.13999999999925,394.08000000000004,7.660548298483345,3.8647563581403968,0.016046893048296235,0.03816924129460106,67,41,3.3202998692859347,0.8656716417910447,1.808143949508667,1.6075465679168701,0.9134912490844727,"{'model__learning_rate': 0.3, 'model__max_depth': 4, 'model__n_estimators': 20}",1.500883936882019,0.9013800024986268,-5.520980637918149e-05,119.0999999154592,241.95,8.787649,35.42137,0.24119561047980234,0.9722144307355857,0.007952287379509005,0.0320541842877466,118.94000016908012,35.36000000000001,214.78014,63.614227,6.229206531442383,1.8449850324876271,0.001728995440507142,0.0005120990438948227,119.09999991545985,116.77000000000001,43.641327,38.412735,1.1901461565611597,1.0475568949171838,0.00636561022828009,0.005602957962959636,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,108.05000147170193,394.08000000000004,149.18799,137.44832,4.299181814006086,3.8647563581403968,0.003540664470135478,0.03816924129460106,249.0899985282972,0.0,118.02112,0.0,3.361366549580528,0.0,0.012506229287879065,0.0
2025-12-08,357,245.27313,116.85583,376.28117346493354,173,357.089997373247,340.53,7.037235102933003,3.2881309401373056,0.01426739990946262,0.035928727091534406,142,32,1.5903464010538508,0.8943661971830986,1.808143949508667,1.6075465679168701,0.9134912490844727,"{'model__learning_rate': 0.3, 'model__max_depth': 4, 'model__n_estimators': 20}",1.5065865516662598,0.9014207124710084,-0.0001047275567334,120.71999998658241,235.17,8.04117,34.85963,0.22070693907669456,0.9567963677739292,0.007276770098337405,0.031545846398584536,116.06999904007162,31.610000000000003,200.36363,54.982536,5.811088813852084,1.5946425809088338,0.0016129415540835873,0.0004426133148279957,120.2999983465929,73.75000000000001,36.868332,27.01367,1.0054393500042242,0.7366919914545428,0.005377688257041626,0.003940267378121873,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,116.48000018564176,340.53,137.69542,116.85583,3.962333121231017,3.2881309401373056,0.004289794792567914,0.03592872709153441,240.60999718760522,0.0,107.5777,0.0,3.0749019947897915,0.0,0.009977605548403342,0.0
2025-12-09,357,215.32803,128.43353,416.5736056870532,192,357.0199957870667,329.9,6.144734856040506,3.618675515095476,0.022483559599145518,0.036709947195974736,65,32,1.585168632751285,0.7076923076923077,1.808143949508667,1.6075465679168701,0.9134912490844727,"{'model__learning_rate': 0.3, 'model__max_depth': 4, 'model__n_estimators': 20}",1.4779270887374878,0.903725564479828,2.601532509960216e-06,124.33999714112035,206.23999999999998,16.508823,35.210155,0.4531196112923663,0.966417161163385,0.014939481523400496,0.031863046673082256,109.7899998836941,34.12,155.69112,63.498474,4.515464680866292,1.8416280977429396,0.0012533246097366241,0.0005111672839927631,122.8899987622523,89.53999999999999,43.12812,29.7249,1.1761505638818488,0.810630256189152,0.006290753466008398,0.004335733238899724,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,110.11999874398022,329.9,60.602818,128.43353,1.7094901367372213,3.618675515095476,0.008050303274918676,0.036709947195974736,246.89999704308644,0.0,154.72523,0.0,4.435244582491107,0.0,0.014433255430500983,0.0
2025-12-10,357,229.95784,92.15973,403.1827951839719,147,357.0633335504819,252.56,6.578201019273699,2.602379914636275,0.0180257280883499,0.029042349943529944,67,33,1.972467060796832,0.7910447761194029,1.808143949508667,1.6075465679168701,0.9134912490844727,"{'model__learning_rate': 0.3, 'model__max_depth': 4, 'model__n_estimators': 20}",1.503741979598999,0.9025506973266602,4.218823529648837e-05,118.97000021739969,170.95,11.533489,29.34925,0.31656103106478667,0.805552275227867,0.010437106575750334,0.02655928596331469,119.04666666641742,27.93,176.11821,48.46169,5.107905800378683,1.4055204316579721,0.0014177641718599063,0.0003901200587281799,119.04666666666475,53.67999999999999,42.306137,14.348797,1.1537341878302287,0.3913072077504354,0.00617085734073966,0.002092943921487083,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,109.27000106219641,252.56,75.83484,92.15973,2.158426504467571,2.6023799146362747,0.006126378601615303,0.029042349943529944,247.79333248828544,0.0,154.12299,0.0,4.419774293532992,0.0,0.011899349425317425,0.0
