Keyword,Region,Match type,Origin,Optimal Cost,Gurobi Pred,Gurobi Pred over Base,Actual Model Pred,Diff
a1wizard,B,Broad match,existing searches,4.609999882152905,11.11772226766,9.947854990514614,11.117723,-1.197305820710426e-06
ai data model,USA,Exact match,existing,0.9499999698066875,0.9177892385000007,0.6471303580278175,0.91778886,3.753179328436218e-07
ai data model,USA,Broad match,existing,1.01999995772663,1.2016502124899997,0.8287016553515567,1.20165,1.8902961151923137e-07
ai data model,A,Broad match,existing,1.0199999577266299,1.5890291856500003,0.8287017272683475,1.5890293,-1.2648378877599953e-07
ai machine learning course free,USA,Broad match,new,1.0199999577266297,1.2388584230799995,0.6676435683627449,1.2388583,8.090928416137899e-08
ai ml bootcamp,USA,Broad match,existing searches,1.019999957726611,1.2793444371799998,0.667643425522285,1.2793444,-2.3265309678777157e-09
ai online master degree,USA,Broad match,existing searches,1.0199999577266299,1.5271302620900018,0.8287017504704339,1.5271302,1.5927587249109365e-08
ai training courses,USA,Broad match,existing,1.0199999577266294,1.46909898988,0.6676435517429455,1.469099,-5.491980470395674e-08
alphago,USA,Broad match,existing searches,1.0199999577266137,1.513244333389999,0.6676434899604335,1.5132444,-5.709767192385584e-08
analytics and machine learning course,USA,Broad match,new,1.0199999577266294,1.3312615323899986,0.6676435042260886,1.3312614,1.3598191750396893e-07
analyticsvidhya review,USA,Phrase match,existing searches,0.9499999698066873,1.3657910528200008,0.6471304001825191,1.365791,8.964708819725331e-08
analyticsvidhya review,USA,Broad match,existing searches,1.01999995772663,1.4732846643900004,0.8287016179536906,1.4732846,6.222477821893335e-08
aprendizaje no supervisado,USA,Exact match,existing searches,0.9499999698066874,1.1363725734200003,0.8244952631439688,1.1363727,-1.1201243377279013e-07
aprendizaje no supervisado,USA,Phrase match,existing searches,0.9499999698066877,1.644094533719999,0.8244953821086709,1.6440946,-5.265237645879495e-08
aprendizaje no supervisado,USA,Broad match,existing searches,1.01999995772663,1.659799119389999,1.0060665811667324,1.6597992,-9.878779638761159e-08
aprendizaje no supervisado,A,Broad match,existing searches,8.740000353557186,8.07765593682,7.1510268107480695,8.077655,1.098257987663942e-06
artificial intelligence course online with certificate,USA,Broad match,existing searches,1.01999995772663,0.9979023809899993,0.6676434751023955,0.9979021,2.8567215870634044e-07
artificial intelligence training,USA,Broad match,existing,1.01999995772663,1.2894399917799992,0.7467123425681157,1.2894399,7.516928146600321e-08
best site to learn data science,USA,Broad match,existing searches,1.0199999577266303,1.5783063482899995,0.8287019443173738,1.5783062,1.5016988230698303e-07
best way to learn data science,USA,Exact match,existing searches,0.9499999698066874,1.0291241006000003,0.6471305982215365,1.0291239,1.982791384413929e-07
best way to learn data science,USA,Broad match,existing searches,1.0199999577266308,1.5783063482899995,0.8287019443173738,1.5783062,1.5016988230698303e-07
best way to learn data science,A,Broad match,existing searches,1.0199999577266277,1.9656853214500023,0.8287015691993309,1.9656854,-4.613422621702057e-08
big data analytics courses,USA,Broad match,existing searches,1.0199999577266303,1.55153371139,0.8287019257111365,1.5515336,1.3156364508937202e-07
big data and machine learning in quantitative investment,USA,Broad match,existing searches,1.0199999577266305,1.8207777380900003,0.6676433920816995,1.8207778,-3.5767116379759045e-08
big data course,USA,Broad match,existing searches,1.0199999577266288,1.5515337113899998,0.8287019257111363,1.5515336,1.315636448673274e-07
books for machine learning in python,USA,Broad match,existing searches,1.01999995772663,1.058287878779999,0.6676434178634798,1.0582879,1.981698627417927e-08
bootcamp machine learning,USA,Broad match,existing searches,1.01999995772663,1.2100703916799995,0.667643388296363,1.2100704,2.005219190692742e-08
building a language model,USA,Broad match,existing searches,1.0199999577266297,1.40018316269,0.7251149630554481,1.400183,2.002723975547127e-07
coding for beginners,USA,Broad match,existing searches,1.01999995772663,1.12720950908,0.7914723104887678,1.1272094,8.410746588083384e-08
cognitive data science,USA,Broad match,existing searches,1.01999995772663,1.3604532453899993,0.8287016723042144,1.360453,2.3578459162898469e-07
cognitive data science,A,Broad match,existing searches,1.0199999577266299,1.7478322185500001,0.828701714418683,1.7478323,-7.97288084442016e-08
cs109 data science,USA,Exact match,existing searches,0.9499999698066875,0.8425621255999995,0.6471305206185771,0.84256184,2.845889521818634e-07
cs109 data science,USA,Phrase match,existing searches,0.9499999698066875,1.0480176235999998,0.6471305515136656,1.0480175,1.2176894514936976e-07
cs109 data science,USA,Broad match,existing searches,1.01999995772663,1.39174437329,0.8287018518132543,1.3917443,1.1727040760689533e-07
cs229,A,Broad match,existing searches,8.740000353557186,8.33066720022,7.279395880830657,8.330666,1.6118410943732897e-06
cs231n,USA,Broad match,existing searches,1.0199999577266252,0.9465149843899999,0.6676434779374395,0.9465147,2.5870488029600125e-07
cursos de ia google gratis,USA,Broad match,existing searches,1.01999995772663,1.1261922395900001,0.6676435447409859,1.1261922,2.7485202780397344e-08
cursos de python gratis,USA,Broad match,existing searches,1.0199999577266288,1.040871400779999,0.6676435362761386,1.0408714,1.9020355512822107e-08
cursos gratuitos mit,USA,Broad match,existing searches,1.01999995772663,1.2120980737799991,0.6676434395903934,1.2120982,-1.6707235683810495e-07
data analysis and machine learning course,USA,Broad match,new,1.01999995772663,0.9012687900799987,0.6676434824008224,0.9012684,3.67476391538446e-07
data science for beginners,USA,Broad match,existing searches,1.0199999577266385,1.2016502124900001,0.8287016553515572,1.20165,1.8902961196332058e-07
data science for beginners,A,Broad match,existing searches,1.01999995772663,1.5890291856500005,0.8287017272683477,1.5890293,-1.2648378855395492e-07
data science framework,USA,Phrase match,existing searches,0.9499999698066875,1.098913445600001,0.6471304441771188,1.0989134,1.4432398387498324e-08
data science framework,USA,Broad match,existing searches,1.01999995772663,1.355874071390001,0.8287017443483751,1.3558741,9.80552838925064e-09
data science masters,USA,Exact match,existing,0.9499999698066875,0.8645046853199999,0.7134879433289568,0.8645044,2.884045641193822e-07
data science masters,USA,Broad match,existing,1.019999957726626,1.3339391023899996,0.8950593144680941,1.333939,1.4612931842350463e-07
data science masters,A,Broad match,existing,1.0199999577266299,1.7213180755500002,0.8950590585593385,1.7213182,-1.6938408187172627e-07
data science nigeria,USA,Broad match,existing searches,1.01999995772663,1.2694239539899996,0.8287017566957644,1.269424,-7.64940466524422e-09
data science project for beginners,USA,Exact match,existing searches,0.9499999698066877,1.0674629201200005,0.8244953145291802,1.0674628,1.181867119726121e-07
data science project for beginners,USA,Phrase match,existing searches,0.9499999698066877,1.1691474699000004,0.8244952045897129,1.1691473,2.1686350137883892e-07
data science project for beginners,USA,Broad match,existing searches,1.01999995772663,1.3343190697899998,1.0060665158501805,1.334319,7.431423076909027e-08
data science vs ai,USA,Exact match,existing searches,0.9499999698066875,0.8982956155,0.6471305235085755,0.89829534,2.725777893397563e-07
datacamp machine learning course,USA,Broad match,new,1.019999957726629,1.2459406935799993,0.6676434957612432,1.2459406,1.2751707201275053e-07
datacamp machine learning courses,USA,Broad match,new,1.01999995772663,1.2459406935799993,0.6676434957612432,1.2459406,1.2751707201275053e-07
deepfake,USA,Exact match,existing searches,0.9499999698064823,1.0905957801200006,0.9035641385174844,1.0905958,-6.128777529923468e-08
deepfake,USA,Phrase match,existing searches,0.9499999698066877,1.5100660984200003,0.9035641615074637,1.5100662,-5.319895723943091e-08
deepfake,USA,Broad match,existing searches,1.019999957726621,1.5257706840899994,1.0851353903678467,1.5257708,-9.933437805642598e-08
