Keyword,Region,Match type,Origin,Optimal Cost,Gurobi Pred,Gurobi Pred over Base,Actual Model Pred,Diff,t_Clicks_OptCost
ai diploma,USA,Broad match,existing,5.757514288475773,4.91777649496,3.5848505792419214,4.9177766,-8.966524411846424e-08,1.8050044
ai for product managers,USA,Broad match,existing,59.27751648162644,41.78479701479,40.379482688503685,41.784798,-6.536670298373792e-07,9.941845
ai innovation course,USA,Broad match,existing,2.8675143825605223,3.0143328826,1.961519352631738,3.0143335,-6.039570070726086e-07,0.61538815
artificial intelligence short course online,USA,Broad match,existing,10.167514512621649,14.062945973280002,11.933933388593722,14.062947,-1.2999743930208751e-06,9.091308
artificial intelligence short course online,A,Phrase match,existing,10.017514111343765,12.02349875458,11.872651274878958,12.0234995,-7.342505661256382e-07,6.375121
artificial intelligence short course online,A,Broad match,existing,10.167514512621649,14.900133682580002,12.5468199981165,14.900135,-1.3577032014211454e-06,9.402627
best courses on artificial intelligence,USA,Broad match,existing,3.0175142654162697,4.36196133818,1.847295972960884,4.3619614,-2.6566093325186564e-08,0.56749827
best prompting courses,USA,Broad match,existing,3.017514265416139,3.21699872618,1.7119716704396435,3.216999,-3.277750781904843e-07,0.5674982
generative ai foundations course,USA,Broad match,existing,3.017514265416267,4.1576050994800005,2.086679148475972,4.157605,-7.172361282670181e-08,0.7474983
generative ai foundations course,A,Broad match,existing,2.867514382560522,4.2013551789,1.961519678182837,4.2013555,-2.784059081051282e-07,0.7474983
generative ai fundamentals course,USA,Broad match,existing,3.0175142654162697,3.24898874211,1.777947539564834,3.2489889,-1.246960303902256e-07,0.7474985
mit,USA,Broad match,existing,3.33751418971705,3.06602794261,2.2556929621221764,3.066028,-1.7552354503180825e-07,1.1850893
mit,A,Broad match,existing,3.33751418971705,3.23493750681,2.2556930362136867,3.2349377,-1.61036679546811e-07,1.1850892
mit ai certificate,USA,Exact match,existing,2.03751420431909,1.95992393003,1.1796485255767222,1.9599241,-1.71799529047334e-07,0.55426073
mit ai certificate,USA,Phrase match,existing,2.037514204319066,2.39020970333,1.179648427847822,2.39021,-2.0992378457762586e-07,0.5542612
mit ai certificate,USA,Broad match,existing,2.037514204319105,3.22068380443,1.619997492708198,3.2206838,-8.665093087500964e-09,0.5542605
mit ai certificate,A,Broad match,existing,2.0375142043191063,3.38959336863,1.619997626404353,3.3895934,5.821772397496261e-09,0.5542605
mit ai certificate,B,Broad match,existing,0.4375142605527927,2.0969895823,0.3204315407274292,2.0969894,1.890657470582369e-07,0.0
mit generative ai certificate,USA,Phrase match,existing,2.037514204319066,2.20507018283,1.1796484442054274,2.2050705,-3.127754686360618e-07,0.55426073
mit generative ai certificate,USA,Broad match,existing,2.0375142043190912,3.03554428393,1.6199973898565134,3.0355444,-1.115167775900261e-07,0.55426073
mit generative ai certificate,B,Broad match,existing,0.4375142605527927,1.9118500618000005,0.3204314378757451,1.9118501,-3.2995226550980306e-08,0.0
mit professional development,USA,Exact match,existing,45.44751413402024,30.631965038310003,30.20084136439414,30.631966,-5.988970279702244e-07,29.870434
mit professional development,USA,Phrase match,existing,45.44751413402024,30.78638254561,30.17147987045817,30.786383,-1.2956089889826217e-07,30.184118
mit professional development,USA,Broad match,existing,62.38751301785952,58.71992160661,57.46790959222096,58.719913,8.123943985083315e-06,53.689686
mit professional development,A,Broad match,existing,31.237514559929554,26.448652140610005,25.02773057650783,26.448652,-1.2684605010804262e-07,26.193348
mit xpro ai,USA,Broad match,existing,62.38751301785952,56.15564154879,52.98970674768832,56.155636,5.715049766763514e-06,56.267815
northeastern university artificial intelligence,USA,Broad match,existing,62.38751301785952,41.75605073181,40.67824986186829,41.75605,6.219467181267646e-07,40.128967
online ai training courses,USA,Broad match,existing,3.0175142654162697,4.278369044180001,1.8472960938168408,4.2783694,-3.825472942864394e-07,0.5674976
online course generative ai,USA,Phrase match,existing,10.017514111343765,12.85829754278,12.85475311160024,12.858298,-7.589167765331695e-07,6.7711105
online course generative ai,USA,Broad match,existing,10.167514512621649,16.912679986780002,14.901155071084812,16.912676,4.129236057082153e-06,9.9923725
online course generative ai,A,Phrase match,existing,10.017514111343765,13.69548525208,13.46763965779308,13.695486,-8.166455867097966e-07,6.7711105
online course generative ai,A,Broad match,existing,10.167514512621649,17.749867696080006,15.514041680607594,17.749866,1.2104843030158463e-06,9.9923725
online course generative ai,B,Phrase match,existing,8.957514582339266,17.352778750470005,15.505845981648289,17.352777,1.2693909035021989e-06,12.180683
online course generative ai,B,Broad match,existing,14.017514443644606,36.70388438457,32.84897019618499,36.703896,-1.1184277653342178e-05,34.857464
stanford online artificial intelligence course,USA,Broad match,existing,3.017514265416269,4.058706083680001,1.847296038056221,4.0587063,-1.9988933530612485e-07,0.5674982
