Keyword,Region,Match type,Origin,Optimal Cost,Gurobi Pred,Gurobi Pred over Base,Actual Model Pred,Diff,t_Clicks_OptCost
ai diploma,B,Broad match,existing,8.816119773277986,14.2619968992,11.954219732833423,14.261997,-3.2370039093621017e-07,9.193305
ai for executives,B,Broad match,existing,20.376120142738653,30.4217864383,28.777986418082104,30.421783,2.9910343748440482e-06,9.844154
applied gen ai for digital transformation mit,B,Broad match,existing,13.396120604569061,24.5690785993,23.746686016406628,24.569075,3.968562694467437e-06,11.712713
artificial intelligence course,B,Broad match,existing,8.816119773278004,13.821020401400007,12.364200032633223,13.821022,-1.6322913989341714e-06,7.385413
artificial intelligence for leadership,B,Broad match,existing,3.306120224497994,6.063197057900055,4.5141127521368105,6.0631957,1.3524862367830792e-06,3.9349349
artificial intelligence short course online,B,Broad match,existing,13.396120604569061,33.4238357104,31.568922356480016,33.423836,-4.399453246151097e-08,10.653058
best ai classes online,B,Broad match,existing,8.816119773278016,13.138717000600009,12.220866625424533,13.138718,-6.507671788114067e-07,7.8619328
best ai courses,B,Broad match,existing,8.816119773278016,14.1742279298,12.923107362478223,14.282234,-0.10800626209453057,6.2908926
best ai learning course,B,Broad match,existing,8.816119773278016,13.36962556740001,12.022007225954088,13.369626,-4.778270401573081e-07,8.907448
best course for artificial intelligence,B,Broad match,existing,8.816119773278007,13.435258207400008,12.364200053293867,13.435259,-6.579564377773295e-07,7.1833053
best course on artificial intelligence,B,Broad match,existing,8.816119773278007,13.435258207400006,12.364200053293866,13.435259,-6.579564395536863e-07,7.1833053
best courses on artificial intelligence,B,Broad match,existing,8.816119773278016,15.720787446600001,14.75773505459408,15.720788,-5.554141591090911e-07,7.2784824
best online courses for learning generative ai,B,Broad match,new,8.816119773278016,16.0903719,14.824214153684999,16.09037,1.721777344698694e-06,8.658727
best place to study artificial intelligence,B,Broad match,existing,13.39612060456906,19.5674231054,18.76964843289176,19.56742,4.053275976190207e-06,10.295788
best prompting courses,B,Broad match,existing,13.396120604569058,24.757828685,23.512319298937378,24.757826,2.8335595700923477e-06,9.846421
controllable video generation,B,Broad match,existing,8.816119773278086,13.941483727800104,11.865324965821955,13.941484,-7.234938408373637e-07,7.4578576
course on machine learning and artificial intelligence,B,Broad match,existing,8.816119773278018,14.273686268800002,13.309967973702651,13.097281,1.17640481280635,9.2062025
generative ai certification online,B,Broad match,existing,10.266120114385684,18.58700146320005,17.032712718273597,18.586998,3.477360206005642e-06,5.957672
generative ai course for business leaders,B,Broad match,new,3.306120224497941,6.536442921300003,4.969827935833999,6.5364423,6.414843287672056e-07,4.3910437
generative ai courses online,B,Broad match,new,8.816119773278011,13.1654151792,12.364200126595325,13.165416,-5.846549804289225e-07,9.076145
generative ai crash course,B,Broad match,existing,13.39612060456906,19.7695681448,18.87357789230519,18.59316,1.17640751552754,10.625495
generative ai online courses,B,Broad match,existing,8.816119773278013,13.3652493638,12.220866529365491,13.36525,-2.6998906221820107e-07,6.927829
generative ai online program,B,Broad match,existing,3.306120224497917,7.536648066399998,4.969828160165257,7.5366473,7.466062967864673e-07,4.568266
generative ai online training,B,Broad match,existing,3.306120224497947,6.259499356299997,4.627635166198374,6.259498,1.236945749383267e-06,4.2830377
large language model course,B,Broad match,existing,8.816119773278016,15.6918142852,14.558875900190234,15.691815,-1.091081738735511e-06,9.3987255
learn generative ai tools,B,Broad match,existing,8.816119773278016,15.873528295600003,12.99260097130496,15.873529,-1.1386040981165024e-06,7.368341
leverage ai for business,B,Broad match,existing,3.3061202244979615,7.1426936745999985,4.627635395562523,7.142692,1.5855191879410313e-06,4.34509
mit,B,Broad match,existing,3.3061202244979113,5.124167300499998,4.411977387703978,4.858196,0.26597151879223446,4.208956
mit professional development,B,Broad match,existing,13.396120604569049,20.2322969744,18.972249181011634,20.232296,9.844097661471096e-07,7.508252
online ai and ml courses,B,Broad match,new,8.816119773278016,16.7374902392,15.790807070788745,15.561086,1.17640453821123,8.355217
online ai training courses,B,Broad match,existing,8.816119773278015,15.483225571400002,14.415542351490334,15.483227,-1.2047230448786195e-06,5.622377
online artificial intelligence degree,B,Broad match,existing,8.816119773278018,13.366775133700006,12.165340879053705,13.366775,5.746790101568422e-07,6.5475273
online course generative ai,B,Exact match,existing,10.266120114385673,16.579786975243,15.163792807915119,16.579786,6.745838199151422e-07,8.016586
online course generative ai,B,Phrase match,existing,10.266120114385672,16.705072791943,15.36265209473078,16.705074,-1.518359734831165e-06,8.016586
online course generative ai,B,Broad match,existing,17.00355884964393,41.322867608399996,39.216762280793795,41.32287,-7.387679730186392e-07,9.268194
online generative ai course,B,Broad match,existing,3.306120224497883,6.487313330299999,4.586772382385876,6.487313,5.365683097835472e-07,4.4348516
prompt engineering course,B,Broad match,existing,8.816119773278,13.2982792692,12.165340884190234,13.29828,-4.930680663761677e-07,4.7687244
stanford online artificial intelligence course,B,Broad match,existing,8.816119773278016,15.756649810800003,14.757735092172073,15.756651,-1.1138826145895564e-06,9.187456
