Keyword,Region,Match type,Origin,Optimal Cost,Gurobi Pred,Gurobi Pred over Base,Actual Model Pred,Diff
ai algorithms,USA,Phrase match,existing searches,6.930000058637355,5.145793711740001,4.2173019405188406,5.145794,-2.030549204334875e-07
algorithm for machine learning,USA,Exact match,existing searches,0.6799999878165855,0.9607249164400004,0.38458796976183873,0.960725,-9.300137537859854e-08
algorithm for machine learning,USA,Phrase match,existing searches,0.6799999878165783,1.0027777594399998,0.38458794773345684,1.002778,-2.9384369160112556e-07
algorithm for machine learning,USA,Broad match,existing searches,0.6799999878165855,0.8630447402099996,0.38458794499439286,0.86304486,-1.1776882125058563e-07
alphago,A,Exact match,existing searches,6.930000058637353,8.51124808377,7.50852570122453,8.511248,4.4888230554818165e-07
alphago,A,Broad match,existing searches,6.930000058637356,8.89394701389,8.030790695225448,8.893947,3.662459562292497e-07
applications of machine learning in engineering,USA,Exact match,existing searches,0.6799999878165855,0.9546791737400003,0.38458804539069613,0.9546792,-1.7372517979730162e-08
applications of machine learning in engineering,USA,Phrase match,existing searches,0.6799999878165854,0.9967320167400008,0.38458802336231523,0.9967322,-1.5861018842766583e-07
applications of machine learning in engineering,USA,Broad match,existing searches,0.6799999878165855,0.9647601197100003,0.3845880577898343,0.9647603,-1.8378731414525618e-07
applied machine learning,USA,Exact match,existing,0.6799999878165857,0.8580141998400004,0.38458803664343666,0.8580142,-2.6119777452038306e-08
applied machine learning,USA,Phrase match,existing,0.6799999878165855,0.9000670428400003,0.3845880146150552,0.90006715,-1.0775280367969486e-07
aws machine learning,USA,Broad match,existing searches,0.6799999878165859,1.0746067640599994,0.38458805058572576,1.0746069,-1.3138677790180964e-07
aws training,USA,Phrase match,existing searches,6.930000058637356,5.487728640070002,4.279961272707026,5.4877286,4.433635947265202e-08
aws training,A,Phrase match,existing searches,6.930000058637356,9.22425194947,7.6747153636622,9.224251,1.156012968905884e-06
aws training,A,Broad match,existing searches,6.930000058637356,9.39284325799,7.918087732401011,9.392842,9.652043555519185e-07
big data and machine learning in quantitative investment,USA,Exact match,existing searches,0.6799999878165855,0.6192674057400002,0.38458803462145463,0.6192674,1.6605629094001984e-09
big data and machine learning in quantitative investment,USA,Phrase match,existing searches,0.6799999878165859,0.7627484597400007,0.3845880128577528,0.7627485,-2.0103138931304443e-08
boosting,USA,Exact match,existing searches,0.5800000019404262,0.8272800213400004,0.33917919459973556,0.8272801,-8.282030838913101e-08
boosting,USA,Broad match,existing searches,0.580000001940828,1.04360941266,0.33917924975335323,1.0436096,-2.064806250423601e-07
courera,USA,Broad match,existing searches,6.930000058637354,5.027599884290002,4.347357703465722,5.0276,7.273604651913956e-08
courera,A,Exact match,existing searches,6.930000058637355,8.59598888927,7.508525748782329,8.595988,6.156493945752572e-07
