Campaign,Conversion action,Targeted location,All conv.
Course - Generative AI - Run 3 - Search - Lead Gen - A [broad],Purchase - Gen AI,France,1.00
Course - Generative AI - Run 4 - Search - Lead Gen - A [phrase and exact],Purchase - Gen AI,Belgium,1.00
Course - Generative AI - Run 4 - Search - Lead Gen - A [phrase and exact],Purchase - Gen AI,France,1.00
Course - Generative AI - Run 4 - Search - Lead Gen - A [phrase and exact],Purchase - Gen AI,Israel,1.00
Course - Generative AI - Run 4 - Search - Lead Gen - B [phrase and exact],Purchase - Gen AI,Singapore,1.00
Course - Generative AI - Run 4 - Search - Lead Gen - B [phrase and exact],Purchase - Gen AI,South Africa,1.00
Course - Generative AI - Run 4 - Search - Lead Gen - B [phrase and exact],Purchase - Gen AI,Egypt,2.00
Course - Generative AI - Run 4 - Search - Lead Gen - USA [best performing KWs],Purchase - Gen AI,United States,10.00
Course - Generative AI - Run 4 - Search - Lead Gen - USA [mid tier],Purchase - Gen AI,Canada,5.00
Course - Generative AI - Run 4 - Search - Lead Gen - USA [mid tier],Purchase - Gen AI,United States,17.00
Course - Generative AI - Run 5 - Search - Prospecting - USA,Purchase - Gen AI,United States,1.00
