Campaign,Conversion action,Hour of the day,All conv.
Program - MLx - Run 13 - Search - Lead Gen - A (broad),Purchase,3,1.00
Program - MLx - Run 13 - Search - Lead Gen - A (broad),Purchase,11,1.00
Program - MLx - Run 13 - Search - Lead Gen - A (exact + phrase),Purchase,4,0.50
Program - MLx - Run 13 - Search - Lead Gen - A (exact + phrase),Purchase,6,2.78
Program - MLx - Run 13 - Search - Lead Gen - A (exact + phrase),Purchase,7,1.00
Program - MLx - Run 13 - Search - Lead Gen - A (exact + phrase),Purchase,9,0.50
Program - MLx - Run 13 - Search - Lead Gen - A (exact + phrase),Purchase,22,1.00
Program - MLx - Run 13 - Search - Lead Gen - A (exact + phrase),Purchase,23,1.00
Program - MLx - Run 13 - Search - Lead Gen - USA (broad),Purchase,13,1.00
Program - MLx - Run 13 - Search - Lead Gen - USA (broad),Purchase,15,2.00
Program - MLx - Run 13 - Search - Lead Gen - USA (broad),Purchase,23,1.00
Program - MLx - Run 13 - Search - Lead Gen - USA (exact),Purchase,9,1.00
Program - MLx - Run 13 - Search - Lead Gen - USA (exact),Purchase,10,2.00
Program - MLx - Run 13 - Search - Lead Gen - USA (exact),Purchase,12,3.00
Program - MLx - Run 13 - Search - Lead Gen - USA (exact),Purchase,13,0.50
Program - MLx - Run 13 - Search - Lead Gen - USA (exact),Purchase,14,1.50
Program - MLx - Run 13 - Search - Lead Gen - USA (exact),Purchase,15,4.00
Program - MLx - Run 13 - Search - Lead Gen - USA (exact),Purchase,17,1.00
Program - MLx - Run 13 - Search - Lead Gen - USA (exact),Purchase,20,1.00
Program - MLx - Run 13 - Search - Lead Gen - USA (exact),Purchase,21,2.00
Program - MLx - Run 13 - Search - Lead Gen - USA (phrase),Purchase,10,1.00
Program - MLx - Run 13 - Search - Lead Gen - USA (phrase),Purchase,12,0.34
Program - MLx - Run 13 - Search - Lead Gen - USA (phrase),Purchase,16,1.00
Program - MLx - Run 13 - Search - Lead Gen - USA (testing KWs),Purchase,12,0.34
Program - MLx - Run 13 - Search - Lead Gen - USA (testing KWs),Purchase,14,1.00
Program - MLx - Run 13 - Search - Lead Gen - USA (testing KWs),Purchase,15,1.00
Program - MLx - Run 15 - Search - Prospecting - A,Purchase,9,0.81
Program - MLx - Run 15 - Search - Prospecting - B,Purchase,17,1.00
Program - MLx - Run 15 - Search - Prospecting - USA,Purchase,10,1.00
Program - MLx - Run 9 - Search - Lead Gen - A/Developed,Purchase,1,1.00
Program - MLx - Run 9 - Search - Lead Gen - US,Purchase,8,1.00
Program - MLx - Run 9 - Search - Lead Gen - US,Purchase,10,0.85
Program - MLx - Run 9 - Search - Lead Gen - US,Purchase,17,1.00
Program - MLx - Run 9 - Search - Lead Gen - US,Purchase,22,1.00
