Keyword,Region,Match type,Origin,Optimal Cost,Gurobi Pred,Gurobi Pred over Base,Actual Model Pred,Diff,t_Clicks_OptCost
ai,USA,Exact match,existing searches,1.3800000680468891,1.8625482363200003,1.1803420824503716,1.862548,2.426600274052504e-07,0.40990433
ai,USA,Phrase match,existing searches,1.3800000680468891,1.8625482363200003,1.1803420824503714,1.862548,2.426600271832058e-07,0.40990424
ai,USA,Broad match,existing searches,1.3800000680468891,1.8625482363200003,1.1803420824503714,1.862548,2.426600271832058e-07,0.40990424
ai,A,Exact match,existing searches,1.6200000299746222,2.4266439779199995,1.6677777870096602,2.426644,-1.0891776902610673e-07,0.5542979
ai,A,Phrase match,existing searches,1.6200000299746222,2.42664397792,1.6677777870096606,2.426644,-1.0891776858201753e-07,0.5542979
ai,A,Broad match,existing searches,1.6200000299746222,2.42664397792,1.6677777870096606,2.426644,-1.0891776858201753e-07,0.5542979
ai course,USA,Exact match,existing searches,1.3800000680468891,1.5253896719200002,1.18034207880324,1.5253894,2.3901289569749906e-07,0.45810026
ai course,USA,Phrase match,existing searches,1.3800000680468898,1.5253896719200004,1.1803420788032402,1.5253894,2.390128959195437e-07,0.45810044
ai course,USA,Broad match,existing searches,1.3800000680468902,1.5253896719200004,1.1803420788032402,1.5253894,2.390128959195437e-07,0.4581002
ai course,A,Exact match,existing searches,1.6200000299746198,2.08948541352,1.667777902571819,2.0894856,-2.317741896185055e-07,0.602494
ai course,A,Phrase match,existing searches,1.62000002997463,2.08948541352,1.667777902571819,2.0894856,-2.317741896185055e-07,0.602494
ai course,A,Broad match,existing searches,1.62000002997463,2.08948541352,1.667777902571819,2.0894856,-2.317741896185055e-07,0.602494
ai learning,USA,Exact match,existing,3.889999878263812,4.262790954610001,3.19552246381868,4.2627907,2.746783600571235e-07,1.0621014
ai learning,USA,Phrase match,existing,3.889999878263812,4.262790954610001,3.19552246381868,4.2627907,2.746783600571235e-07,1.0621015
ai learning,USA,Broad match,existing,3.889999878263812,4.262790954610001,3.19552246381868,4.2627907,2.746783600571235e-07,1.3939571
ai learning,A,Exact match,existing,3.8899998782638177,5.20627127012,4.062342742287969,5.2062716,-3.782869821833401e-07,1.7817165
ai learning,A,Phrase match,existing,3.8899998782638185,5.20627127012,4.062342742287969,5.2062716,-3.782869821833401e-07,1.7817163
ai learning,A,Broad match,existing,3.8899998782638185,5.20627127012,4.062342742287969,5.2062716,-3.782869821833401e-07,2.1135728
artificial intelligence,USA,Exact match,existing searches,1.3800000680468876,1.3685992971200005,1.1803420797127735,1.3685989,3.591317190299037e-07,0.3064431
artificial intelligence,USA,Phrase match,existing searches,1.3800000680468876,1.3685992971200005,1.180342079712774,1.3685989,3.591317192519483e-07,0.30644298
artificial intelligence,USA,Broad match,existing searches,1.3800000680468876,1.3685992971200005,1.180342079712774,1.3685989,3.591317192519483e-07,0.30644298
artificial intelligence,A,Exact match,existing searches,1.6200000299746211,1.9326950387200008,1.6677778140743862,1.9326949,1.267632137036401e-07,0.45083678
artificial intelligence,A,Phrase match,existing searches,1.6200000299746211,1.93269503872,1.6677778140743853,1.9326949,1.2676321281546168e-07,0.45083678
artificial intelligence,A,Broad match,existing searches,1.6200000299746211,1.93269503872,1.6677778140743853,1.9326949,1.2676321281546168e-07,0.45083678
blackbox ai,USA,Exact match,existing searches,1.3800000680468791,1.99791820532,1.180341916143059,1.997918,1.9556200436809945e-07,0.40990415
blackbox ai,USA,Phrase match,existing searches,1.3800000680468791,1.9979182053200004,1.1803419161430595,1.997918,1.9556200481218866e-07,0.40990427
blackbox ai,USA,Broad match,existing searches,3.889999878263807,3.6789209125100006,2.86134462333306,3.6789207,1.666603912653386e-07,0.87087834
blackbox ai,A,Exact match,existing searches,1.6200000299746176,2.56201394692,1.667777561097704,2.562014,-1.560157909530347e-07,0.5542979
blackbox ai,A,Phrase match,existing searches,1.6200000299746176,2.56201394692,1.667777561097704,2.562014,-1.560157909530347e-07,0.5542979
blackbox ai,A,Broad match,existing searches,1.6200000299746176,2.56201394692,1.667777561097704,2.562014,-1.560157909530347e-07,0.5542979
class central,USA,Exact match,existing searches,1.3800000680468876,1.5713073869199996,1.111494835183168,1.5713071,3.238172774366888e-07,0.30644333
class central,USA,Phrase match,existing searches,1.3800000680468891,1.5713073869199998,1.1114948351831682,1.5713071,3.238172776587334e-07,0.3064431
class central,USA,Broad match,existing searches,1.3800000680468891,1.5713073869199998,1.1114948351831682,1.5713071,3.238172776587334e-07,0.30644298
computer science,USA,Exact match,existing searches,1.3800000680468871,1.8180422261200004,1.1803420856437736,1.8180418,4.246673637187115e-07,0.3064432
computer science,USA,Phrase match,existing searches,1.3800000680468862,1.81804222612,1.1803420856437734,1.8180418,4.246673634966669e-07,0.3064431
computer science,USA,Broad match,existing searches,1.3800000680468891,1.81804222612,1.1803420856437734,1.8180418,4.246673634966669e-07,0.3064431
computer science,A,Exact match,existing searches,1.6200000299746222,2.3821379677199994,1.6677777902030622,2.382138,-4.611972226342687e-08,0.45083678
computer science,A,Phrase match,existing searches,1.6200000299746222,2.38213796772,1.6677777902030626,2.382138,-4.6119721819337656e-08,0.45083678
computer science,A,Broad match,existing searches,1.620000029974619,2.38213796772,1.6677777902030626,2.382138,-4.6119721819337656e-08,0.45083678
computer vision,USA,Exact match,existing searches,1.38000006804689,1.66201649802,1.104416595866985,1.6620162,3.446844287768869e-07,0.23183513
computer vision,USA,Phrase match,existing searches,1.38000006804689,1.6620164980200005,1.1044165958669852,1.6620162,3.446844289989315e-07,0.23183501
computer vision,USA,Broad match,existing searches,1.38000006804689,1.6620164980199998,1.1044165958669847,1.6620162,3.446844285548423e-07,0.23183501
consensus ai,USA,Exact match,existing searches,1.6200000299746222,2.16581420342,1.2792530481007862,2.1658142,4.2119340903923343e-08,0.48429143
consensus ai,USA,Phrase match,existing searches,1.6200000299746222,2.16581420342,1.2792530481007862,2.1658142,4.2119340903923343e-08,0.48429143
consensus ai,USA,Broad match,existing searches,1.6200000299746222,2.16581420342,1.2792530481007862,2.1658142,4.2119340903923343e-08,0.48429143
consensus ai,A,Exact match,existing searches,1.620000029974621,2.630998957019999,1.6677778242647197,2.630999,-1.3126735431967518e-07,0.6286851
consensus ai,A,Phrase match,existing searches,1.620000029974621,2.63099895702,1.66777782426472,2.630999,-1.3126735387558597e-07,0.6286851
consensus ai,A,Broad match,existing searches,1.620000029974621,2.63099895702,1.66777782426472,2.630999,-1.3126735387558597e-07,0.6286851
convolutional neural network,USA,Exact match,existing searches,1.38000006804689,2.09497506072,1.03556925703958,2.094975,6.606057612046359e-08,0.545756
convolutional neural network,USA,Phrase match,existing searches,1.3800000680468874,2.0949750607199995,1.0355692570395796,2.094975,6.606057567637438e-08,0.5457558
convolutional neural network,USA,Broad match,existing searches,1.3800000680468874,2.0949750607199995,1.0355692570395796,2.094975,6.606057567637438e-08,0.54575586
cs50,USA,Exact match,existing searches,1.3800000680468891,1.56045608202,1.1114948240854297,1.5604558,2.829172167650995e-07,0.30622244
cs50,USA,Phrase match,existing searches,1.3800000680468891,1.5604560820200002,1.11149482408543,1.5604558,2.829172169871441e-07,0.30622244
cs50,USA,Broad match,existing searches,1.3800000680468891,1.5604560820200002,1.11149482408543,1.5604558,2.829172169871441e-07,0.30622232
cs50,A,Exact match,existing searches,1.620000029974615,2.12455182362,1.5989305882493636,2.124552,-1.878698685509051e-07,0.450616
data science,USA,Exact match,existing searches,1.3800000680468891,1.39498740942,1.1803421130847795,1.3949871,3.03096757692245e-07,0.18658659
data science,USA,Phrase match,existing searches,1.3800000680468891,1.3949874094199997,1.180342113084779,1.3949871,3.030967574702004e-07,0.1865868
