Keyword,Region,Match type,Origin,Optimal Cost,Gurobi Pred,Gurobi Pred over Base,Actual Model Pred,Diff,t_Clicks_OptCost
ai for engineering,USA,Broad match,existing,0.6600012575208325,1.7037945841000015,-1.4479405230360952e-08,1.7037946,-1.4479405230360952e-08,0.0
applied gen ai for digital transformation mit,USA,Exact match,existing,14.699999813755696,10.307682991600002,9.646341741657222,10.307682,9.542464862732911e-07,1.3502799
applied gen ai for digital transformation mit,USA,Broad match,existing,10.159999779462051,8.4480242643,7.108116856539381,8.448023,1.4218927741893594e-06,4.8288336
artificial intelligence short course online,USA,Broad match,existing,10.159999779462051,11.58862821112,9.045738139251103,11.588627,1.349547734008638e-06,6.0560236
artificial intelligence short course online,A,Broad match,existing,10.159999779462051,11.937941660820002,9.69517623418426,11.937941,1.0632858220560593e-06,5.7954235
artificial intelligence training,B,Broad match,existing,10.15999977946205,15.920123708800004,14.100539100722,15.920123,6.085192421068086e-07,11.028217
generative ai for business,USA,Broad match,existing,3.119999946903832,3.4161427093200007,1.511339433257989,3.4161425,2.4563591871640256e-07,1.1663347
generative ai foundations course,USA,Broad match,existing,3.1199999469038326,4.247519125520001,1.5113392968762025,4.247519,1.0925413196360979e-07,1.3308722
generative ai fundamentals course,USA,Broad match,existing,6.510000083841581,5.06249694552,3.118939325471477,5.0624967,2.833801078239162e-07,1.3314105
mit,USA,Broad match,existing,3.1199999469038318,2.169797729720002,1.7464715354336555,2.1697981,-4.060374441117176e-07,1.1663349
mit xpro ai,USA,Exact match,existing,84.63999946825548,58.38539075192,57.39308976467635,58.385395,-4.298128828850167e-06,39.870216
mit xpro ai,USA,Phrase match,existing,84.63999946825548,60.48025185262,59.08850270901954,60.480255,-3.274333124636541e-06,40.527294
mit xpro ai,USA,Broad match,existing,91.28000161142468,71.39818320092014,69.59629044350437,71.39818,5.100334206531443e-06,60.54108
online course generative ai,USA,Broad match,existing,10.159999779462035,11.588628211120025,9.045738139251128,11.588627,1.349547758877634e-06,6.0560236
online course generative ai,A,Broad match,existing,10.159999779462057,11.937941660820004,9.69517623418426,11.937941,1.063285823832416e-06,5.7954235
python and ai course,B,Broad match,existing,10.15999977946205,15.961586558100002,13.981794320818205,15.961585,1.513239162420632e-06,11.028218
