Keyword,Region,Match type,Origin,Optimal Cost,Gurobi Pred,Gurobi Pred over Base,Actual Model Pred,Diff
4 week certificate programs online,A,Exact match,existing searches,0.6399999810491437,0.7571784160860001,0.12379979116992346,0.7571783,1.095064102729637e-07
4 week certificate programs online,A,Phrase match,existing searches,0.6399999810491437,0.9013833641860001,0.12379994390935822,0.9013831,2.6224584503964365e-07
aha io training,USA,Exact match,existing searches,0.6399999810491644,0.7595466197460001,0.12379972347906287,0.7595466,4.181554968951673e-08
alison leadership courses,USA,Phrase match,existing searches,0.9600000307163594,0.9443559341159998,0.2120837859836756,0.944356,-9.014928947781442e-08
alison leadership courses,A,Phrase match,existing searches,0.6399999810491644,1.0202114001160003,0.12379968317798151,1.0202113,6.111911310391349e-08
an introduction to general systems thinking,A,Exact match,existing searches,0.6399999810491644,0.9218369058199999,0.09675794158660145,0.92183685,5.27926561355585e-08
business systems analyst courses,A,Exact match,existing searches,0.6399999810491644,0.781286900485999,0.0906809620513982,0.78128666,2.436294621599444e-07
certificate in systems thinking,USA,Broad match,existing searches,4.710000154498431,4.297371419819999,0.4998917903033977,4.2973714,3.233830980775565e-08
class central certificate,A,Exact match,existing searches,1.849999945636504,0.5166515353860002,0.19001155530825664,0.5166515,2.4193678394013318e-08
class central certificates,A,Phrase match,existing searches,1.849999945636504,0.6216861335760004,0.19001153392847847,0.6216861,3.261622261163666e-08
complex problem solving,USA,Broad match,existing searches,0.9600000307163594,1.2378021619100001,0.18504179928487807,1.2378023,-1.0516458481824031e-07
design patterns certification,A,Phrase match,existing searches,2.650000008530613,1.6691807104959997,0.5308818413630041,1.6691806,7.885842645549701e-08
design patterns certification,A,Broad match,existing searches,8.91000029287865,8.739122156339999,7.328672532278414,8.739123,-1.1880813879372454e-06
design patterns certification,B,Phrase match,existing searches,5.589999925304829,6.128575799006,4.901560065287128,6.128576,-2.8433655430148974e-09
design patterns certification,B,Broad match,existing searches,10.220000201389793,22.67377089904,21.17460452960183,22.67377,-5.501014754827338e-09
design thinking coach certification,USA,Broad match,existing searches,0.6399999810491295,1.16162303653,0.1237995978855908,1.1616231,-8.377792237723725e-08
e learning lms learnership,USA,Phrase match,existing searches,0.9600000307163594,0.9770237847459999,0.1330806060922829,0.9770238,4.4000831866952694e-09
e learning lms learnerships,USA,Exact match,existing searches,0.9600000307163594,0.896620732546,0.1330805242063089,0.89662063,1.0132804351137281e-07
gestion de proyectos,USA,Broad match,existing searches,0.9600000307163594,3.30345824233,0.1287484454244825,3.3034582,2.8523847728223473e-08
google career certificate of ux design,A,Phrase match,existing searches,0.6399999810491224,0.69177419582,0.12379974761595947,0.69177413,6.59524462820471e-08
google career certificate of ux design,A,Broad match,existing searches,0.6399999810491224,0.9429257255400001,0.12379959638960947,0.9429258,-8.527390371604326e-08
google coursera free courses with certificate,A,Broad match,existing searches,1.849999945636504,0.61741100493,0.19001145902202576,0.617411,-1.2487907707914303e-08
how to solve algorithm problems,USA,Broad match,existing,0.9600000307163594,1.25406553091,0.1850416833300439,1.2540658,-2.2111941899716214e-07
how to study it online,USA,Broad match,existing searches,0.6399999810491644,0.9288284169400001,0.17576098310592414,0.92882854,-1.2052414177787796e-07
how to study it online,A,Broad match,existing searches,0.6399999810491644,1.0929678979400002,0.1757610145095192,1.092968,-8.912054672016723e-08
ibm project manager certification,USA,Broad match,existing searches,8.91000029287865,4.780087234331999,0.982068778826628,4.7800875,-2.3667630166812614e-07
industrial engineering certificate online,A,Exact match,existing searches,0.6399999810491401,0.9271210523700003,0.12379986964218659,0.92712086,1.8797867340492047e-07
industrial engineering certificate online,A,Phrase match,existing searches,0.6399999810491401,0.89824019177,0.12379984362165408,0.89824003,1.6195814089847715e-07
learner management systems,USA,Broad match,existing searches,0.9600000307163594,1.20068925522,0.13308042190701164,1.2006893,-6.057589851948819e-08
learning software engineering for beginners,USA,Broad match,existing searches,0.6399999810491295,0.9598970587400001,0.12379963947806771,0.9598971,-4.2185445470188654e-08
lj lms,USA,Phrase match,existing searches,3.8599999358208095,1.3271694206760003,1.1369340145156457,1.3271695,-1.1686825018841773e-07
lms,USA,Exact match,existing searches,0.9600000307163594,0.9331739718859999,0.1330806786959975,0.93317384,1.366084425580283e-07
lms learning program,USA,Exact match,existing,0.6399999810491295,0.6761256072060002,0.12379964323200121,0.67612565,-3.843151197280292e-08
lms learning program,USA,Phrase match,existing,0.6399999810491295,0.7811602053959998,0.12379959204989999,0.7811603,-8.961361319670402e-08
lms learning program,USA,Broad match,existing,1.9299999625822413,1.0320329171299998,0.35297186194658914,1.0320331,-1.6869305929922973e-07
lms learning program,A,Phrase match,existing,2.650000008530613,1.7379695086959999,0.8084724455360572,1.7379695,-9.011824841920202e-09
lms learning program,A,Broad match,existing,2.650000008530613,1.75966987753,0.8084723725327465,1.7596699,-2.241049079643176e-08
lms learning program,B,Phrase match,existing,5.589999925304829,6.2844752843060006,5.212044554439973,6.284475,4.3460507281878336e-07
lms learning program,B,Broad match,existing,0.6399999810491295,1.2987457390300003,0.20461450772201695,1.2987461,-3.699787887168071e-07
manager 101 training,USA,Broad match,existing searches,0.6399999810491224,0.9003181946499998,0.1237994921429808,0.9003184,-1.8952053237875077e-07
metadata certification,A,Broad match,existing searches,1.849999945636504,1.14423203215,0.12303864702579337,1.1442322,-1.2174251717844697e-07
microsoft project management certification,USA,Broad match,existing searches,8.91000029287865,4.805435879951999,0.9820692379537084,4.805436,-2.543863795168022e-07
mind laster com,USA,Broad match,existing searches,0.6399999810491644,0.87503895035,0.11946740617962037,0.87503904,-9.069232786984571e-08
model based system engineering,A,Broad match,existing searches,0.6399999810491644,1.6261080044099998,0.07864363368246075,1.626108,-4.593637470406975e-08
model based systems engineering tutorial,USA,Broad match,existing searches,0.6399999810491295,1.39991167324,0.09675791995936045,1.3999116,3.116541513747961e-08
online class with certificate,A,Phrase match,existing searches,0.6399999810491224,0.9529084030000003,0.12379980715191685,0.9529083,1.2548840366832792e-07
online learnerships for 2025 with stipend,USA,Exact match,existing searches,0.9600000307163594,0.6590295799860003,0.21208379350986506,0.6590295,9.619083429779351e-08
online learnerships for 2025 with stipend,USA,Broad match,existing searches,0.6399999810491295,0.82240064232,0.12379975406774169,0.82240057,7.240422850163242e-08
quality software management systems thinking,USA,Phrase match,existing searches,0.6399999810491295,0.7124210849059999,0.0786438241256654,0.71242094,1.4450682994660013e-07
quality software management systems thinking,USA,Broad match,existing searches,8.91000029287865,4.758877705311999,1.2608665930988643,4.7588778,-4.889942673003134e-08
short courses yale,USA,Broad match,existing searches,0.6399999810491295,1.0985119879300003,0.12379961610382839,1.098512,-6.555968479204921e-08
simulation and modeling,USA,Broad match,existing searches,0.9600000307163594,1.46571218171,0.16692768730997565,1.4657122,-7.96437737982103e-09
software architect certification,USA,Broad match,existing searches,0.6398934177830998,3.54096084722,5.35330351603136e-07,3.5409603,5.35330351603136e-07
system design certification,A,Exact match,existing,8.91000029287865,8.788782956306,7.525809886161346,8.788784,-1.070793610224996e-06
system design certification,A,Phrase match,existing,8.91000029287865,8.989720570205998,7.689870821594548,8.989721,-7.280117753083459e-07
system design certification,A,Broad match,existing,8.91000029287865,9.29440684514,7.72240646080925,9.294406,9.079451750437784e-07
system design certification,B,Exact match,existing,0.6399999810491644,1.4228200286060002,0.06791251594120529,1.42282,5.656773116591296e-08
system design certification,B,Phrase match,existing,0.6399999810491644,1.4596966558959998,0.06791246476440804,1.4596967,5.3909339214897045e-09
system design certification,B,Broad match,existing,25.189999526759063,71.11140007342001,69.44746500815054,71.1114,3.2838692334280495e-06
system design for managers,USA,Phrase match,existing searches,0.6399999810491224,0.8681354258499998,0.12379977445229473,0.86813533,9.278878154717063e-08
system design for managers,USA,Broad match,existing searches,0.9600000307163594,1.0585009636699998,0.21208365581630106,1.058501,-4.1502729697384666e-08
system design mooc,USA,Broad match,existing searches,0.6399999810491295,0.57116655647,0.11946729957302737,0.57116675,-1.972989208676168e-07
system design mooc,A,Broad match,existing searches,0.6399999810491644,0.84330308977,0.11946738305918458,0.8433032,-1.1381276365796111e-07
