Feature,Mean_Abs_SHAP
num__Cost,2.3883579
cat__Region_B,1.0947655
cat__Region_USA,0.603648
cat__Match type_Broad match,0.3458169
num__bert_217,0.19490547
num__bert_127,0.17741531
cat__Region_A,0.1720246
cat__Match type_Exact match,0.12027362
num__six_month_avg,0.052453365
num__bert_237,0.050408866
num__bert_178,0.044092987
num__days_to_next_course_start,0.040497493
num__bert_49,0.040090445
num__bert_128,0.0388218
num__bert_286,0.03830996
num__bert_337,0.035316773
cat__month_Jul,0.03431257
num__bert_375,0.031858195
num__bert_295,0.028498782
num__mom_change,0.027635852
num__bert_50,0.025530027
num__bert_289,0.023852197
cat__month_Mar,0.022355378
num__three_month_avg,0.019972764
num__bert_207,0.018432075
num__bert_290,0.018376863
num__bert_189,0.01831231
num__bert_51,0.018042644
num__bert_213,0.017116565
num__bert_323,0.016983528
cat__month_Apr,0.016868338
num__bert_230,0.016348487
num__search_trend,0.016120782
num__bert_66,0.015417372
num__bert_292,0.014254406
num__is_weekend,0.013986882
num__bert_379,0.0130015155
num__bert_134,0.012594167
cat__month_Nov,0.011666643
cat__month_Jan,0.011627218
num__bert_240,0.010877663
num__bert_166,0.010257487
num__bert_359,0.010053579
num__Competition (indexed value),0.009453497
num__bert_110,0.009194097
num__bert_318,0.008197876
num__bert_98,0.008035103
num__bert_228,0.007993841
num__bert_89,0.0073657245
num__bert_215,0.0069646155
num__bert_37,0.006914264
num__bert_220,0.0068782307
num__bert_86,0.006845677
num__bert_345,0.006783119
num__bert_326,0.006774207
num__bert_335,0.0062609427
num__bert_136,0.005696594
cat__month_Aug,0.005403237
num__bert_3,0.005300656
num__bert_27,0.005212277
num__bert_15,0.004745065
num__bert_383,0.0043752925
num__bert_231,0.004043483
num__bert_341,0.0040033055
num__bert_306,0.0038866892
num__bert_272,0.0038659766
num__bert_83,0.0038244717
num__bert_319,0.0036475873
num__bert_11,0.0036079553
num__bert_70,0.0035260573
num__bert_242,0.0032997003
num__bert_76,0.0032931366
cat__month_Jun,0.0032578122
num__bert_157,0.003231165
num__bert_73,0.0028802133
num__bert_58,0.0027544694
num__bert_224,0.002681047
num__bert_239,0.0026375526
num__bert_114,0.0019981016
num__bert_142,0.0018231985
num__bert_348,0.0017959124
num__Top of page bid (high range),0.0017890087
num__bert_18,0.0015300243
num__bert_262,0.0015207677
num__bert_363,0.0014130026
num__bert_1,0.0013770909
num__bert_0,0.0013242014
num__bert_317,0.001324183
cat__month_Feb,0.0013228987
cat__day_of_week_Thursday,0.0013029001
num__bert_41,0.0012923824
cat__day_of_week_Saturday,0.0012433024
cat__day_of_week_Wednesday,0.0011887327
num__bert_17,0.00023402408
num__bert_63,0.0
num__bert_64,0.0
num__bert_65,0.0
num__bert_67,0.0
num__bert_68,0.0
num__bert_69,0.0
num__bert_71,0.0
num__bert_72,0.0
num__bert_74,0.0
num__bert_75,0.0
num__bert_77,0.0
num__bert_78,0.0
num__bert_79,0.0
num__bert_80,0.0
num__bert_81,0.0
num__bert_82,0.0
num__bert_84,0.0
num__bert_85,0.0
num__bert_87,0.0
num__bert_88,0.0
num__bert_90,0.0
num__bert_91,0.0
num__bert_92,0.0
num__bert_93,0.0
num__bert_94,0.0
num__bert_95,0.0
num__bert_96,0.0
num__bert_97,0.0
num__bert_99,0.0
num__bert_100,0.0
num__bert_101,0.0
num__bert_102,0.0
num__bert_103,0.0
num__bert_104,0.0
num__bert_105,0.0
num__bert_106,0.0
num__bert_107,0.0
num__bert_108,0.0
num__bert_109,0.0
num__bert_111,0.0
num__bert_112,0.0
num__bert_113,0.0
num__bert_115,0.0
num__bert_116,0.0
num__bert_117,0.0
num__bert_118,0.0
num__bert_119,0.0
num__bert_120,0.0
num__bert_121,0.0
num__bert_122,0.0
num__bert_123,0.0
num__bert_124,0.0
num__bert_125,0.0
num__bert_126,0.0
num__bert_129,0.0
num__bert_130,0.0
num__bert_131,0.0
num__bert_132,0.0
num__bert_133,0.0
num__bert_135,0.0
num__bert_137,0.0
num__bert_138,0.0
num__bert_139,0.0
num__bert_140,0.0
num__bert_141,0.0
num__bert_143,0.0
num__bert_144,0.0
num__bert_145,0.0
num__bert_146,0.0
num__bert_147,0.0
num__bert_148,0.0
num__bert_149,0.0
num__bert_150,0.0
num__bert_151,0.0
num__bert_152,0.0
num__bert_153,0.0
num__bert_154,0.0
num__bert_155,0.0
num__bert_156,0.0
num__bert_158,0.0
num__bert_159,0.0
num__bert_160,0.0
num__bert_161,0.0
num__bert_162,0.0
num__bert_163,0.0
num__bert_164,0.0
num__bert_165,0.0
num__bert_167,0.0
num__bert_168,0.0
num__bert_169,0.0
num__bert_170,0.0
num__bert_171,0.0
num__bert_172,0.0
num__bert_173,0.0
num__bert_174,0.0
num__bert_175,0.0
num__bert_176,0.0
num__bert_177,0.0
num__bert_179,0.0
num__bert_180,0.0
num__bert_181,0.0
num__bert_182,0.0
num__bert_183,0.0
num__bert_184,0.0
num__bert_185,0.0
num__bert_186,0.0
num__bert_187,0.0
num__bert_188,0.0
num__bert_190,0.0
num__bert_191,0.0
num__bert_192,0.0
num__bert_193,0.0
num__bert_194,0.0
num__bert_195,0.0
num__bert_196,0.0
num__bert_197,0.0
num__bert_198,0.0
num__bert_199,0.0
num__bert_200,0.0
num__bert_201,0.0
num__bert_202,0.0
num__bert_203,0.0
num__bert_204,0.0
num__bert_205,0.0
num__bert_206,0.0
num__bert_24,0.0
num__bert_208,0.0
num__bert_209,0.0
num__bert_210,0.0
num__bert_211,0.0
num__bert_212,0.0
num__bert_376,0.0
num__bert_214,0.0
cat__month_Sep,0.0
num__bert_216,0.0
num__bert_346,0.0
num__bert_218,0.0
num__bert_219,0.0
num__bert_347,0.0
num__bert_221,0.0
num__bert_222,0.0
num__bert_223,0.0
num__bert_349,0.0
num__bert_225,0.0
num__bert_226,0.0
num__bert_227,0.0
num__bert_350,0.0
num__bert_229,0.0
num__bert_351,0.0
num__bert_353,0.0
num__bert_232,0.0
num__bert_233,0.0
num__bert_234,0.0
num__bert_235,0.0
num__bert_236,0.0
num__bert_354,0.0
num__bert_238,0.0
num__bert_355,0.0
num__bert_356,0.0
num__bert_241,0.0
num__bert_357,0.0
num__bert_243,0.0
num__bert_244,0.0
num__bert_245,0.0
num__bert_246,0.0
num__bert_247,0.0
num__bert_248,0.0
num__bert_249,0.0
num__bert_250,0.0
num__bert_251,0.0
num__bert_252,0.0
num__bert_253,0.0
num__bert_254,0.0
num__bert_255,0.0
num__bert_256,0.0
num__bert_257,0.0
num__bert_258,0.0
num__bert_259,0.0
num__bert_260,0.0
num__bert_261,0.0
num__bert_358,0.0
num__bert_263,0.0
num__bert_264,0.0
num__bert_265,0.0
num__bert_266,0.0
num__bert_267,0.0
num__bert_268,0.0
num__bert_269,0.0
num__bert_270,0.0
num__bert_271,0.0
num__bert_360,0.0
num__bert_273,0.0
num__bert_274,0.0
num__bert_275,0.0
num__bert_276,0.0
num__bert_277,0.0
num__bert_278,0.0
num__bert_279,0.0
num__bert_280,0.0
num__bert_281,0.0
num__bert_282,0.0
num__bert_283,0.0
num__bert_284,0.0
num__bert_285,0.0
num__bert_361,0.0
num__bert_287,0.0
num__bert_288,0.0
num__bert_362,0.0
num__bert_364,0.0
num__bert_291,0.0
num__bert_365,0.0
num__bert_293,0.0
num__bert_294,0.0
num__bert_366,0.0
num__bert_296,0.0
num__bert_297,0.0
num__bert_298,0.0
num__bert_299,0.0
num__bert_300,0.0
num__bert_301,0.0
num__bert_302,0.0
num__bert_303,0.0
num__bert_367,0.0
num__bert_305,0.0
num__bert_368,0.0
num__bert_307,0.0
num__bert_308,0.0
num__bert_309,0.0
num__bert_310,0.0
num__bert_311,0.0
num__bert_312,0.0
num__bert_313,0.0
num__bert_314,0.0
num__bert_315,0.0
num__bert_316,0.0
num__bert_369,0.0
num__bert_370,0.0
num__bert_371,0.0
num__bert_320,0.0
num__bert_321,0.0
num__bert_322,0.0
num__bert_372,0.0
num__bert_324,0.0
num__bert_325,0.0
num__bert_373,0.0
num__bert_327,0.0
num__bert_328,0.0
num__bert_329,0.0
num__bert_330,0.0
num__bert_331,0.0
num__bert_332,0.0
num__bert_333,0.0
num__bert_334,0.0
num__bert_374,0.0
num__bert_336,0.0
num__is_public_holiday,0.0
num__bert_338,0.0
num__bert_339,0.0
num__bert_340,0.0
num__bert_25,0.0
num__bert_342,0.0
num__bert_343,0.0
num__bert_344,0.0
num__bert_377,0.0
num__bert_378,0.0
num__bert_26,0.0
num__bert_380,0.0
num__bert_381,0.0
num__bert_382,0.0
num__bert_28,0.0
num__bert_29,0.0
num__bert_30,0.0
cat__Match type_Phrase match,0.0
num__bert_31,0.0
num__bert_304,0.0
num__bert_32,0.0
cat__day_of_week_Friday,0.0
cat__day_of_week_Monday,0.0
num__bert_33,0.0
cat__day_of_week_Sunday,0.0
num__bert_34,0.0
cat__day_of_week_Tuesday,0.0
num__bert_35,0.0
num__bert_36,0.0
num__bert_38,0.0
cat__month_Dec,0.0
num__bert_39,0.0
num__bert_40,0.0
num__bert_42,0.0
num__bert_43,0.0
num__bert_44,0.0
cat__month_May,0.0
num__bert_45,0.0
cat__month_Oct,0.0
num__last_month_searches,0.0
num__bert_46,0.0
num__bert_47,0.0
num__bert_48,0.0
num__bert_52,0.0
num__Top of page bid (low range),0.0
num__bert_53,0.0
num__bert_54,0.0
num__bert_55,0.0
num__bert_56,0.0
num__bert_2,0.0
num__bert_57,0.0
num__bert_4,0.0
num__bert_5,0.0
num__bert_6,0.0
num__bert_7,0.0
num__bert_8,0.0
num__bert_9,0.0
num__bert_10,0.0
num__bert_59,0.0
num__bert_12,0.0
num__bert_13,0.0
num__bert_14,0.0
num__bert_60,0.0
num__bert_16,0.0
num__bert_61,0.0
num__bert_62,0.0
num__bert_19,0.0
num__bert_20,0.0
num__bert_21,0.0
num__bert_22,0.0
num__bert_23,0.0
num__bert_352,0.0
