Region,Age,Clicks,Conversions,ConversionRate,AvgConversionRate,BidAdjustment,BidAdjustmentPct,GoogleAdsFormat
B,18 - 24,8660,0.0,0.0,0.0002568203308312807,-0.9,-90.0,-90%
B,35 - 44,15009,6.0,0.0003997601439136518,0.0002568203308312807,0.556575145821598,55.65751458215979,+56%
A,45 - 54,14416,3.83,0.00026567702552719204,0.0003979354363003756,-0.3323614805527153,-33.23614805527153,-33%
USA,35 - 44,26664,20.68,0.0007755775577557755,0.0005860256500105123,0.32345326137492947,32.34532613749295,+32%
USA,18 - 24,7434,5.5,0.0007398439601829433,0.0005860256500105123,0.262477094935472,26.247709493547198,+26%
USA,25 - 34,36658,17.0,0.000463745976321676,0.0005860256500105123,-0.20865925183759926,-20.865925183759927,-21%
B,Unknown,26229,8.0,0.00030500590948949637,0.0002568203308312807,0.18762369202721496,18.762369202721494,+19%
A,35 - 44,26326,8.66,0.00032895236648180506,0.0003979354363003756,-0.17335241731651085,-17.335241731651085,-17%
B,25 - 34,27719,6.0,0.0002164580251812836,0.0002568203308312807,-0.15716164494980467,-15.716164494980466,-16%
B,45 - 54,6743,2.0,0.00029660388551090017,0.0002568203308312807,0.1549081202054654,15.49081202054654,+15%
USA,Unknown,46256,24.0,0.0005188516084399862,0.0005860256500105123,-0.11462645290239626,-11.462645290239626,-11%
A,Unknown,41865,18.0,0.0004299534217126478,0.0003979354363003756,0.08046025181859884,8.046025181859884,+8%
USA,45 - 54,18987,11.84,0.0006235845578553747,0.0005860256500105123,0.06409089404907209,6.409089404907209,+6%
A,25 - 34,42351,16.82,0.00039715709192226866,0.0003979354363003756,-0.001955956436911488,-0.1955956436911488,-0%
A,18 - 24,3334,3.0,0.0008998200359928015,0.0003979354363003756,,,No adjustment (insufficient data)
A,55 - 64,1262,1.5,0.0011885895404120444,0.0003979354363003756,,,No adjustment (insufficient data)
A,65+,643,0.0,0.0,0.0003979354363003756,,,No adjustment (insufficient data)
B,55 - 64,800,0.0,0.0,0.0002568203308312807,,,No adjustment (insufficient data)
B,65+,503,0.0,0.0,0.0002568203308312807,,,No adjustment (insufficient data)
USA,55 - 64,4535,3.6,0.0007938257993384785,0.0005860256500105123,,,No adjustment (insufficient data)
USA,65+,2156,1.0,0.00046382189239332097,0.0005860256500105123,,,No adjustment (insufficient data)
